producto;presentacion;marca;categoria;catalogo;precio;fechaRegistro;cadenaComercial;giro;nombreComercial;direccion;estado;municipio;latitud;longitud
CUADERNO FORMA ITALIANA;96 HOJAS PASTA DURA. CUADRICULA CHICA;ESTRELLA;MATERIAL ESCOLAR;UTILES ESCOLARES;25.9;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
CRAYONES;CAJA 12 CERAS. JUMBO. C.B. 201423;CRAYOLA;MATERIAL ESCOLAR;UTILES ESCOLARES;27.5;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
CRAYONES;CAJA 12 CERAS. TAMANO REGULAR C.B. 201034;CRAYOLA;MATERIAL ESCOLAR;UTILES ESCOLARES;13.9;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
COLORES DE MADERA;CAJA 12 PIEZAS LARGO. TRIANGULAR. C.B. 640646;PINCELIN;MATERIAL ESCOLAR;UTILES ESCOLARES;46.9;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
COLOR LARGO;CAJA 36 PIEZAS. CON SACAPUNTAS. 68-4036;CRAYOLA;MATERIAL ESCOLAR;UTILES ESCOLARES;115,00;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
BOLIGRAFO;BLISTER 3 PIEZAS. PUNTO FINO. GEL;BIC. CRISTAL GEL;MATERIAL ESCOLAR;UTILES ESCOLARES;32.5;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
CINTA ADHESIVA;BOLSA 1 PIEZA. 12 MM. X 33 M. C.B. 100317;SCOTCH 3M. 600;MATERIAL ESCOLAR;UTILES ESCOLARES;9,00;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
COLORES DE MADERA;CAJA 24 PIEZAS. LARGO. GRATIS 1 SACAPUNTAS. C.B. 44584;KORES. KOLORES;MATERIAL ESCOLAR;UTILES ESCOLARES;95.9;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
CRAYONES;CAJA 24 CERAS. TAMANO REGULAR. C.B. 608394;PAPER MATE. CARMEN;MATERIAL ESCOLAR;UTILES ESCOLARES;23.2;2011-05-18 00:00:00.000;ABASTECEDORA LUMEN;PAPELERIAS;ABASTECEDORA LUMEN SUCURSAL VILLA COAPA;CANNES No. 6 ESQ. CANAL DE MIRAMONTES;DISTRITO FEDERAL;TLALPAN                                 ;1.929.699;-99.125.417
PAN BLANCO BOLILLO;PIEZA;S/M;PAN;BASICOS;1.2;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
